epoch,train_loss,val_loss,EER,AUC,F1,Acc,threshold,dann_lambda,time_s
1,0.11510900592431426,0.0322958780570498,0.04663441323863625,0.990365129414952,0.9414719919618186,0.9534,0.529,0.0,190.52116450000176
2,0.04539542810525745,0.04537512127993793,0.022231763311831798,0.9979691002815831,0.9730417090539166,0.9788,0.821,0.0,110.46054960000038
3,0.028043175942730158,0.009762080235972623,0.010779158683781185,0.9993761781531922,0.9863083164300203,0.9892,0.46499999999999997,0.0,108.43386450000253
4,0.021715403210255318,0.008075048180320595,0.009192193458873364,0.9994645291645514,0.9879093198992444,0.9904,0.6139999999999999,0.0,108.3428184000004
5,0.6978005769848824,0.005297980007503323,0.005599140564279636,0.9997465147453983,0.9928970065956367,0.9944,0.6210000000000001,0.0908129187996325,550.3673437999969
6,0.7092717769742012,0.027033497408456817,0.0144617361325795,0.999291766892814,0.9813789632611978,0.9852,0.901,0.16637991670481464,498.71999950000463
7,0.707103268802166,0.026090748804102688,0.0060182630090577244,0.9997108055131031,0.9924165824064712,0.994,0.9219999999999999,0.22022145588130237,507.57891109999764
8,0.7058042007684707,0.027536966667003646,0.007605228233965545,0.9996331002118412,0.9896438494569336,0.9918,0.9219999999999999,0.25448509198725394,507.20685210000374
9,0.7042050963640213,0.011960039268206522,0.005344817064788298,0.9998032639244212,0.9924089068825911,0.994,0.8519999999999998,0.27474736325062865,503.7168571000002
10,0.7032341706752777,0.02409443115414698,0.005180018119501548,0.9998765265277684,0.9929185634800203,0.9944,0.925,0.2862135780539846,507.67883820000134
11,0.7028683395683766,0.020039011146637458,0.003922650785167229,0.9998415717158738,0.994169835234474,0.9954,0.9149999999999998,0.2925410094880885,515.5910872999957
12,0.7001634268462658,0.01803544090907502,0.004341773229945316,0.9998879266582663,0.9924050632911392,0.994,0.946,0.29598428944542915,509.3769844999988
13,0.6996197926998139,0.002890751574813282,0.0028443325592421398,0.999913074004953,0.9969543147208122,0.9976,0.687,0.29784383845114787,507.1019815999971
14,0.7011271579563618,0.020500113562418477,0.00300913150452889,0.999954567126986,0.9959390862944163,0.9968,0.9450000000000001,0.2988439592020035,505.72907240000495
15,0.7001072423160076,0.030454132499989666,0.0028443325592421398,0.9999647937146386,0.9906777525825144,0.9926,0.9490000000000001,0.2993806613779471,504.1856148000006
16,0.6984243565797805,0.024131273317719585,0.003428253949306978,0.9999368801598164,0.9906777525825144,0.9926,0.9479999999999998,0.29966833281784583,509.1612223999982
17,0.6964051873981952,0.03491333054078012,0.0019165631154813205,0.9999666378533958,0.9842302878598248,0.9874,0.9480000000000001,0.29982242573189216,504.26490330000524
18,0.6966436465084552,0.022750549764583135,0.0019165631154813205,0.999969571710509,0.9909274193548387,0.9928,0.9479999999999998,0.2999049382685385,502.7647471999953
19,0.6960609854757785,0.026001513087009435,0.0025900090597507463,0.9999484479392923,0.9864525840441546,0.9892,0.9410000000000001,0.2999491133749659,509.92669779999414
20,0.6966255922615529,0.013459456994830442,0.002170886614972658,0.9999724217431336,0.993933265925177,0.9952,0.9339999999999999,0.29997276127877853,508.3147922000062
